coquimbo,"{'coord': {'lon': -71.34, 'lat': -29.95}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 60.8, 'pressure': 1012, 'humidity': 87, 'temp_min': 60.8, 'temp_max': 60.8}, 'visibility': 10000, 'wind': {'speed': 6.93, 'deg': 280}, 'clouds': {'all': 0}, 'dt': 1548385200, 'sys': {'type': 1, 'id': 8514, 'message': 0.0037, 'country': 'CL', 'sunrise': 1548410871, 'sunset': 1548460030}, 'id': 3893629, 'name': 'Coquimbo', 'cod': 200}"
carnarvon,"{'coord': {'lon': 22.13, 'lat': -30.97}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 55.01, 'pressure': 873.58, 'humidity': 51, 'temp_min': 55.01, 'temp_max': 55.01, 'sea_level': 1026.39, 'grnd_level': 873.58}, 'wind': {'speed': 9.33, 'deg': 133.001}, 'clouds': {'all': 0}, 'dt': 1548387386, 'sys': {'message': 0.003, 'country': 'ZA', 'sunrise': 1548388305, 'sunset': 1548437722}, 'id': 1014034, 'name': 'Carnarvon', 'cod': 200}"
new norfolk,"{'coord': {'lon': 147.06, 'lat': -42.78}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 95, 'pressure': 997, 'humidity': 26, 'temp_min': 95, 'temp_max': 95}, 'visibility': 10000, 'wind': {'speed': 19.46, 'deg': 330, 'gust': 13.9}, 'clouds': {'all': 0}, 'dt': 1548385620, 'sys': {'type': 1, 'id': 9545, 'message': 0.003, 'country': 'AU', 'sunrise': 1548356643, 'sunset': 1548409392}, 'id': 2155415, 'name': 'New Norfolk', 'cod': 200}"
qasigiannguit,"{'coord': {'lon': -51.19, 'lat': 68.82}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 6.8, 'pressure': 1017, 'humidity': 65, 'temp_min': 6.8, 'temp_max': 6.8}, 'wind': {'speed': 2.24, 'deg': 160}, 'clouds': {'all': 56}, 'dt': 1548384600, 'sys': {'type': 1, 'id': 165, 'message': 0.0029, 'country': 'GL', 'sunrise': 1548422778, 'sunset': 1548438529}, 'id': 3420768, 'name': 'Qasigiannguit', 'cod': 200}"
ayr,"{'coord': {'lon': -4.63, 'lat': 55.46}, 'weather': [{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}], 'base': 'stations', 'main': {'temp': 46.44, 'pressure': 1007, 'humidity': 100, 'temp_min': 44.6, 'temp_max': 48.2}, 'visibility': 10000, 'wind': {'speed': 6.93, 'deg': 270}, 'clouds': {'all': 92}, 'dt': 1548386400, 'sys': {'type': 1, 'id': 1441, 'message': 0.0035, 'country': 'GB', 'sunrise': 1548404607, 'sunset': 1548434328}, 'id': 2656708, 'name': 'Ayr', 'cod': 200}"
jamestown,"{'coord': {'lon': 138.6, 'lat': -33.21}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 93.89, 'pressure': 966.06, 'humidity': 35, 'temp_min': 93.89, 'temp_max': 93.89, 'sea_level': 1022.62, 'grnd_level': 966.06}, 'wind': {'speed': 11.45, 'deg': 201.001}, 'clouds': {'all': 8}, 'dt': 1548387316, 'sys': {'message': 0.0031, 'country': 'AU', 'sunrise': 1548360061, 'sunset': 1548410049}, 'id': 2069194, 'name': 'Jamestown', 'cod': 200}"
busselton,"{'coord': {'lon': 115.35, 'lat': -33.64}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 65.68, 'pressure': 1030.51, 'humidity': 100, 'temp_min': 65.68, 'temp_max': 65.68, 'sea_level': 1031.58, 'grnd_level': 1030.51}, 'wind': {'speed': 5.97, 'deg': 159.001}, 'clouds': {'all': 8}, 'dt': 1548387387, 'sys': {'message': 0.0031, 'country': 'AU', 'sunrise': 1548365591, 'sunset': 1548415680}, 'id': 2075265, 'name': 'Busselton', 'cod': 200}"
mount gambier,"{'coord': {'lon': 140.78, 'lat': -37.83}, 'weather': [{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}], 'base': 'stations', 'main': {'temp': 73.4, 'pressure': 1007, 'humidity': 60, 'temp_min': 73.4, 'temp_max': 73.4}, 'visibility': 10000, 'wind': {'speed': 9.17, 'deg': 260}, 'clouds': {'all': 75}, 'dt': 1548385200, 'sys': {'type': 1, 'id': 9560, 'message': 0.0033, 'country': 'AU', 'sunrise': 1548358920, 'sunset': 1548410138}, 'id': 2156643, 'name': 'Mount Gambier', 'cod': 200}"
saldanha,"{'coord': {'lon': -6.55, 'lat': 41.42}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 32.29, 'pressure': 958.69, 'humidity': 84, 'temp_min': 32.29, 'temp_max': 32.29, 'sea_level': 1034.66, 'grnd_level': 958.69}, 'wind': {'speed': 2.62, 'deg': 321.001}, 'clouds': {'all': 0}, 'dt': 1548387387, 'sys': {'message': 0.003, 'country': 'PT', 'sunrise': 1548402249, 'sunset': 1548437595}, 'id': 2737599, 'name': 'Saldanha', 'cod': 200}"
barrow,"{'coord': {'lon': -60.23, 'lat': -38.31}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 82.46, 'pressure': 1012.76, 'humidity': 47, 'temp_min': 82.46, 'temp_max': 82.46, 'sea_level': 1024.41, 'grnd_level': 1012.76}, 'wind': {'speed': 22.3, 'deg': 16.0012}, 'clouds': {'all': 88}, 'dt': 1548387388, 'sys': {'message': 0.0039, 'country': 'AR', 'sunrise': 1548407132, 'sunset': 1548458425}, 'id': 3833859, 'name': 'Barrow', 'cod': 200}"
